agent,bathrooms,building_area,building_name,building_type,decor,elevator,floor_position,link,livingrooms,orientation,price_per_m2,property,region,rooms,school,section,structure,total_price,year
穗坤地产,1,70.0,云景花园云桦苑 (距3号线支线京溪南方医院站约495米) 地图,普通住宅,精装修,无,高层,http://esf.gz.fang.com/chushou/3_220638678.htm,1,东北,40000.0,个人产权,白云,2,,广州大道北,平层,280.0,2002.0
置家地产,1,92.0,龙光峰景华庭 (距6号线金峰站约846米) 地图,普通住宅,精装修,无,低层,http://esf.gz.fang.com/chushou/3_216105678.htm,2,南北,26630.0,商品房,黄埔,3,,萝岗,平层,245.0,2008.0
广州市懿新房地产置业有限,1,35.0,人和富和花苑 (距3号线支线人和站约89米) 地图,普通住宅,精装修,无,中层,http://esf.gz.fang.com/chushou/3_219293864.htm,1,暂无,8571.0,使用权限,白云,1, 人和镇第一小学 ,人和,平层,30.0,0.0
中原地产,1,97.0,雅居乐锦城花漾集 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_220520086.htm,2,东南,19381.0,个人产权,花都,3,,新区,,188.0,2013.0
添房置业,2,96.0,万科金色梦想 地图,普通住宅,精装修,有,高层,http://esf.gz.fang.com/chushou/3_219289534.htm,2,南,24167.0,个人产权,黄埔,3, 萝峰小学 ,萝岗,平层,232.0,2015.0
江山地产,2,165.0,珠江帝景苑克莱国际公寓 (距APM线广州塔站约519米) 地图,普通住宅,精装修,有,高层,http://esf.gz.fang.com/chushou/3_216610887.htm,2,东北,56364.0,个人产权,海珠,4, 海珠区第二实验小学 ,客村,平层,930.0,2007.0
中祈地产,2,140.0,亚运城山海湾 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_215419171.htm,2,南北,29000.0,个人产权,番禺,3,,亚运城,平层,406.0,2010.0
群鑫地产,1,43.53,小北路大院 (距5号线小北站约796米) 地图,普通住宅,简装修,无,低层,http://esf.gz.fang.com/chushou/3_220625539.htm,1,南北,51688.0,个人产权,越秀,1, 小北路小学 ,小北,,225.0,1998.0
德诚行地产,2,123.0,泓景花园 (距8号线赤岗站约788米) 地图,普通住宅,精装修,有,高层,http://esf.gz.fang.com/chushou/3_213763871.htm,2,南,52846.0,个人产权,海珠,3,,赤岗,平层,650.0,2006.0
裕丰地产,0,18.0,保利丰花园 (距8号线凤凰新村站约738米) 地图,普通住宅,简装修,有,中层,http://esf.gz.fang.com/chushou/3_220057582.htm,0,东,33333.0,商品房,海珠,0,,工业大道北,平层,60.0,2003.0
远见地产,1,76.0,大石海滨花园 地图,普通住宅,精装修,有,低层,http://esf.gz.fang.com/chushou/3_215816990.htm,2,东南,26316.0,个人产权,番禺,3, 洛浦中心小学 ,大石,,200.0,1998.0
誉辉地产,1,55.0,富力南昆山温泉养生谷 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_214371685.htm,1,东南,11273.0,个人产权,广州周边,1,,其他,平层,62.0,2017.0
弘信地产,3,173.0,金地公园上城 地图,普通住宅,豪华装修,无,高层,http://esf.gz.fang.com/chushou/3_214840751.htm,2,南北,26012.0,个人产权,增城,4, 永和小学 ,永和,,450.0,2015.0
置家地产,1,55.6,中海誉城 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_220258680.htm,1,北,23921.0,个人产权,黄埔,1, 萝峰小学 ,开创大道,平层,133.0,2015.0
宏华地产,1,68.45,碧桂园天玺湾 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_218051952.htm,2,东南,21183.0,个人产权,南沙,2,,金洲,,145.0,2015.0
连家地产,2,139.0,南湖半山豪廷 地图,普通住宅,豪华装修,有,低层,http://esf.gz.fang.com/chushou/3_220608145.htm,2,南北,35827.0,个人产权,白云,3,,广州大道北,,498.0,2005.0
Q房网,2,134.0,华景新城陶然庭苑 地图,普通住宅,豪华装修,有,中层,http://esf.gz.fang.com/chushou/3_220182859.htm,2,南,61418.0,个人产权,天河,4, 华景小学 ,华景新城社区,,823.0,2007.0
德诚行地产,2,125.0,东山一品 (距5号线动物园站约646米) 地图,普通住宅,豪华装修,有,中层,http://esf.gz.fang.com/chushou/3_219235197.htm,2,南,76000.0,个人产权,越秀,3, 水荫路小学 ,水荫路,平层,950.0,2016.0
链家满堂红,1,88.0,杏林小区 (距2号线江南西站约908米) 地图,,简装修,无,高层,http://esf.gz.fang.com/chushou/3_220685962.htm,2,南,35000.0,个人产权,海珠,3, 江南新村第二小学 ,宝岗,,308.0,1993.0
裕丰地产,1,95.0,天河山庄 (距6号线天平架站约896米) 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_219891170.htm,2,南,33684.0,个人产权,天河,3, 侨乐小学 ,沙河,平层,320.0,2000.0
德诚行地产,1,68.0,白云畔山花园 (距3号线支线梅花园站约779米) 地图,普通住宅,豪华装修,有,中层,http://esf.gz.fang.com/chushou/3_218740111.htm,2,南,29412.0,个人产权,白云,2,,广州大道北,平层,200.0,2003.0
鼎铖地产,2,108.0,荔丰花园 (距1号线芳村站约803米) 地图,普通住宅,精装修,有,高层,http://esf.gz.fang.com/chushou/3_220093706.htm,2,南北,32407.0,个人产权,荔湾,3,,芳村,,350.0,1998.0
利得行地产,1,81.5,天锦大厦 (距1号线杨箕站约279米) 地图,普通住宅,简装修,有,低层,http://esf.gz.fang.com/chushou/3_219722762.htm,1,南北,53742.0,个人产权,越秀,2,,杨箕,,438.0,1996.0
华江置业,1,66.0,明泉花园 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_218801630.htm,2,东,11364.0,个人产权,越秀,2, 沙涌南小学 ,解放北,,75.0,2000.0
誉辉地产,2,109.0,金地香山湖 地图,普通住宅,精装修,有,高层,http://esf.gz.fang.com/chushou/3_214373307.htm,2,南,16697.0,个人产权,增城,3,,新塘南,平层,182.0,2016.0
